location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"boston, ma",accident,2003-06-24,united states,non-fatal,airplane,embraer,emb-135-kl,2.0,turbo fan,0.0,0.0,0.0,0.0,42.364167,-71.005,no,boston,ma
"chicago, il",accident,2003-07-17,united states,non-fatal,airplane,boeing,b777-222,2.0,turbo fan,0.0,0.0,1.0,0.0,41.979723,-87.904444,no,chicago,il
"wadsworth, oh",accident,2003-07-22,united states,non-fatal,airplane,boeing,757-251,2.0,turbo fan,0.0,2.0,1.0,2.0,41.024723,-81.727223,no,wadsworth,oh
"wooster, oh",accident,2003-08-16,united states,non-fatal,airplane,boeing,737-800,2.0,turbo fan,0.0,2.0,1.0,2.0,40.991389,-81.888055,no,wooster,oh
"honolulu, hi",incident,2003-08-18,united states,non-fatal,airplane,airbus,a340-300,4.0,turbo fan,0.0,0.0,0.0,0.0,21.318611,-157.9225,no,honolulu,hi
"miami, fl",incident,2003-08-24,united states,non-fatal,airplane,boeing,757-223,2.0,turbo fan,0.0,0.0,0.0,0.0,25.793055,-80.290555,no,miami,fl
"flushing, ny",accident,2003-09-27,united states,non-fatal,airplane,embraer,emb-135,2.0,turbo fan,0.0,0.0,0.0,0.0,40.777223,-73.8725,no,flushing,ny
"boston, ma",accident,2003-10-04,united states,non-fatal,airplane,boeing,737,2.0,turbo fan,0.0,0.0,0.0,0.0,42.364167,-71.005,no,boston,ma
"san francisco, ca",accident,2003-10-07,united states,non-fatal,airplane,boeing,777-281,2.0,turbo fan,0.0,0.0,0.0,0.0,37.618889,-122.374723,no,san francisco,ca
"san francisco, ca",accident,2003-10-07,united states,non-fatal,airplane,boeing,777-22b,2.0,turbo fan,0.0,0.0,0.0,0.0,37.618889,-122.374723,no,san francisco,ca
"denver, co",accident,2003-11-01,united states,non-fatal,airplane,boeing,737-500,2.0,turbo fan,0.0,1.0,1.0,1.0,40.491944,-105.236389,no,denver,co
"san francisco, ca",accident,2003-11-14,united states,non-fatal,airplane,boeing,747-422,4.0,turbo fan,0.0,0.0,0.0,0.0,37.618889,-122.391389,no,san francisco,ca
"denver, co",incident,2003-11-29,united states,non-fatal,airplane,boeing,737-3m8,2.0,turbo fan,0.0,0.0,0.0,0.0,39.858333,-104.666945,no,denver,co
"memphis, tn",accident,2003-12-18,united states,non-fatal,airplane,mcdonnell douglas,md-10-10f,3.0,turbo fan,0.0,2.0,0.0,2.0,unknown,unknown,no,memphis,tn
"miami, fl",incident,2004-02-19,united states,non-fatal,airplane,boeing,767-300 er,2.0,turbo fan,0.0,0.0,0.0,0.0,25.783333,-80.283333,no,miami,fl
"janesville, wi",accident,2004-03-01,united states,non-fatal,airplane,boeing,757-200,2.0,turbo fan,0.0,0.0,1.0,0.0,42.619445,-89.040277,no,janesville,wi
"atlanta, ga",incident,2004-03-05,united states,non-fatal,airplane,boeing,717-200,2.0,turbo fan,0.0,0.0,0.0,0.0,33.640277,-84.085277,no,atlanta,ga
"atlantic ocean, ao",accident,2004-04-10,united states,non-fatal,airplane,mcdonnell douglas,dc-10-30,3.0,turbo fan,0.0,0.0,0.0,0.0,60,-60,no,atlantic ocean,ao
