location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,aircraft_damage,city,state,region,passengers
"romulus, mi",accident,2001-11-30,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82,2.0,turbo fan,0.0,0.0,1.0,0.0,,,no,,romulus,mi,Midwest,1.0
"prescott, az",accident,2001-12-01,united states,non-fatal,airplane,piper,pa-24-250,1.0,reciprocating,0.0,2.0,0.0,2.0,34.654444,-112.419723,no,Substantial,prescott,az,West,4.0
"banning, ca",accident,2001-12-01,united states,non-fatal,airplane,classic aircraft corp.,waco ymf,1.0,reciprocating,0.0,0.0,0.0,0.0,33.251667,-117.53,no,Substantial,banning,ca,West,0.0
"ardmore, ok",accident,2001-12-01,united states,non-fatal,airplane,bell,47g,1.0,reciprocating,0.0,0.0,0.0,0.0,34.146111,-97.1225,no,Substantial,ardmore,ok,South,0.0
"bessemer, al",accident,2001-12-01,united states,fatal(2),airplane,cessna,208b,1.0,turbo prop,2.0,0.0,0.0,0.0,33.313333,-86.935833,no,Destroyed,bessemer,al,South,2.0
"long beach, ca",accident,2001-12-02,united states,non-fatal,airplane,bellanca,8kcab,1.0,reciprocating,0.0,0.0,1.0,0.0,33.817778,-118.151667,no,Destroyed,long beach,ca,West,1.0
"el dorado, ca",accident,2001-12-02,united states,fatal(4),airplane,piper,pa-24-250,1.0,reciprocating,4.0,0.0,0.0,0.0,38.604722,-120.85,no,Destroyed,el dorado,ca,West,4.0
"devils lake, nd",accident,2001-12-03,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,devils lake,nd,Midwest,0.0
"corona, ca",accident,2001-12-04,united states,non-fatal,airplane,cessna,172c,1.0,reciprocating,0.0,0.0,0.0,0.0,33.883333,-117.604167,no,Substantial,corona,ca,West,0.0
"johnson city, tn",accident,2001-12-04,united states,fatal(1),airplane,beech,be-55-t42a,2.0,reciprocating,1.0,0.0,0.0,0.0,36.359722,-82.312778,no,Destroyed,johnson city,tn,South,1.0
"prescott, az",accident,2001-12-05,united states,fatal(2),airplane,cessna,182e,1.0,reciprocating,2.0,0.0,2.0,0.0,34.6575,-112.421667,no,Destroyed,prescott,az,West,4.0
"sidney, mt",accident,2001-12-06,united states,non-fatal,airplane,cessna,310,2.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,sidney,mt,West,0.0
"sunny isles bch, fl",accident,2001-12-06,united states,non-fatal,airplane,convair div. of gen. dynamics,340-580stc,2.0,turbo prop,0.0,2.0,0.0,2.0,25.933889,-80.12,no,Substantial,sunny isles bch,fl,South,4.0
"livermore falls, me",accident,2001-12-07,united states,non-fatal,airplane,piper,j3,1.0,reciprocating,0.0,1.0,0.0,1.0,44.411111,-70.145277,no,Substantial,livermore falls,me,North East,2.0
"santa rosa, nm",accident,2001-12-07,united states,non-fatal,airplane,beech,be-90-e90,2.0,turbo prop,0.0,0.0,0.0,0.0,34.934166,-104.634166,no,Substantial,santa rosa,nm,West,0.0
"haltom city, tx",accident,2001-12-07,united states,non-fatal,airplane,luscombe,8a,1.0,reciprocating,0.0,0.0,0.0,0.0,32.353889,-97.676389,no,Substantial,haltom city,tx,South,0.0
"ravenna, oh",accident,2001-12-08,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,41.21,-81.257778,no,Substantial,ravenna,oh,Midwest,0.0
"new orleans, la",accident,2001-12-08,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,new orleans,la,South,0.0
"new orleans, la",accident,2001-12-08,united states,non-fatal,airplane,curtiss-wright,sb2c-5,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Minor,new orleans,la,South,0.0
"boston, ma",accident,2001-12-09,united states,non-fatal,airplane,rockwell,na-265-80,2.0,turbo fan,0.0,0.0,0.0,0.0,42.364167,-71.005,no,Substantial,boston,ma,North East,0.0
"honolulu, hi",accident,2001-12-09,united states,non-fatal,airplane,cessna,150k,1.0,reciprocating,0.0,1.0,0.0,1.0,21.2775,-157.770834,no,Substantial,honolulu,hi,West,2.0
"reedsburg, wi",accident,2001-12-09,united states,non-fatal,airplane,cessna,172l,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,reedsburg,wi,Midwest,0.0
"o'neill, ne",accident,2001-12-09,united states,non-fatal,airplane,piper,pa-38-112,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,o'neill,ne,Midwest,0.0
"lawrence, ks",accident,2001-12-09,united states,non-fatal,airplane,dassault aviation,falcon 100,2.0,turbo jet,0.0,0.0,0.0,0.0,,,no,Substantial,lawrence,ks,Midwest,0.0
"monticello, ar",accident,2001-12-09,united states,fatal(2),airplane,cessna,t210-m,1.0,reciprocating,2.0,0.0,0.0,0.0,33.6375,-91.858333,no,Destroyed,monticello,ar,South,2.0
"lake michigan, il",accident,2001-12-09,united states,fatal(4),airplane,cessna,r182,1.0,reciprocating,4.0,0.0,0.0,0.0,42.083333,-87.611111,no,Destroyed,lake michigan,il,Midwest,4.0
"halfway, or",accident,2001-12-10,united states,non-fatal,airplane,maule,m-7-235,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,halfway,or,West,0.0
"san antonio, tx",accident,2001-12-10,united states,non-fatal,airplane,cessna,t210k,1.0,reciprocating,0.0,0.0,0.0,0.0,,,no,Substantial,san antonio,tx,South,0.0
"sierra blanca, tx",accident,2001-12-10,united states,fatal(2),airplane,gates learjet,24d,2.0,turbo jet,2.0,0.0,0.0,0.0,31.533333,-105.625834,no,Destroyed,sierra blanca,tx,South,2.0
"la verne, ca",accident,2001-12-11,united states,non-fatal,airplane,piper,pa-28-180,1.0,reciprocating,0.0,0.0,0.0,0.0,34.091666,-117.781945,no,Substantial,la verne,ca,West,0.0
"netarts, or",accident,2001-12-11,united states,fatal(2),airplane,mooney,m20c,1.0,reciprocating,2.0,0.0,0.0,0.0,,,no,Destroyed,netarts,or,West,2.0
"sierra blanca, tx",accident,2001-12-12,united states,non-fatal,airplane,ryan,navion a,1.0,reciprocating,0.0,0.0,2.0,0.0,31.517778,-105.418611,no,Substantial,sierra blanca,tx,South,2.0
