location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,aircraft_damage,city,state,region,passengers
"cape coral, fl",accident,2006-12-17,united states,non-fatal,airplane,cessna,150k,1.0,reciprocating,0.0,0.0,0.0,0.0,26.6,-81.9675,no,Substantial,cape coral,fl,South,0.0
"north canton, oh",accident,2006-12-17,united states,non-fatal,airplane,cessna,560,2.0,turbo fan,0.0,0.0,0.0,0.0,40.916667,-81.45,no,Substantial,north canton,oh,Midwest,0.0
"bucyrus, oh",accident,2006-12-17,united states,fatal(4),airplane,piper,pa-24-260,1.0,reciprocating,4.0,0.0,0.0,0.0,40.791667,-82.98,no,Destroyed,bucyrus,oh,Midwest,4.0
"gilroy, ca",accident,2006-12-18,united states,fatal(3),airplane,beech,d95a,2.0,reciprocating,3.0,0.0,0.0,0.0,36.993889,-121.540834,no,Destroyed,gilroy,ca,West,3.0
"young, az",accident,2006-12-18,united states,fatal(1),airplane,cirrus design corp.,sr22,1.0,reciprocating,1.0,0.0,0.0,0.0,33.915,-110.795277,no,Destroyed,young,az,West,1.0
"fayetteville, ar",accident,2006-12-18,united states,fatal(1),airplane,beech,a36,1.0,reciprocating,1.0,0.0,3.0,0.0,35.946111,-94.163056,no,Destroyed,fayetteville,ar,South,4.0
"austin, tx",accident,2006-12-19,united states,fatal(1),airplane,cessna,t210n,1.0,reciprocating,1.0,0.0,0.0,0.0,30.424723,-97.675278,no,Destroyed,austin,tx,South,1.0
"fresno, ca",accident,2006-12-20,united states,non-fatal,airplane,piper,pa-28r-180,1.0,reciprocating,0.0,0.0,0.0,0.0,36.732223,-119.821945,no,Substantial,fresno,ca,West,0.0
"cheyboygan, mi",accident,2006-12-20,united states,non-fatal,airplane,piper,pa-22-150,1.0,reciprocating,0.0,0.0,0.0,0.0,45.531945,-84.308056,no,Substantial,cheyboygan,mi,Midwest,0.0
"rexburg, id",accident,2006-12-21,united states,non-fatal,airplane,cavalier aircraft corp.,f51d mustang,1.0,reciprocating,0.0,1.0,0.0,1.0,43.826667,-111.811389,no,Substantial,rexburg,id,West,2.0
"chandler, az",accident,2006-12-21,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,33.116667,-115.95,no,Substantial,chandler,az,West,0.0
"big pine, ca",accident,2006-12-21,united states,fatal(2),airplane,piper,pa-28-161,1.0,reciprocating,2.0,0.0,0.0,0.0,37.144444,-118.123889,no,Substantial,big pine,ca,West,2.0
"concord, ca",accident,2006-12-21,united states,fatal(4),airplane,piper,pa-46-350p,1.0,turbo prop,4.0,0.0,0.0,0.0,37.997777,-122.060833,no,Destroyed,concord,ca,West,4.0
"blaine, wa",accident,2006-12-22,united states,non-fatal,airplane,piper,pa-22-150,1.0,reciprocating,0.0,0.0,0.0,0.0,48.99,-122.7325,no,Substantial,blaine,wa,West,0.0
"mosinee, wi",accident,2006-12-22,united states,non-fatal,airplane,beech,99,2.0,turbo prop,0.0,0.0,0.0,0.0,44.7775,-89.666667,no,Substantial,mosinee,wi,Midwest,0.0
"charleston, sc",accident,2006-12-22,united states,fatal(4),airplane,cessna,340a,2.0,reciprocating,4.0,0.0,0.0,0.0,32.718056,-79.987777,no,Substantial,charleston,sc,South,4.0
"greenhead, fl",accident,2006-12-22,united states,fatal(5),airplane,cessna,421b,2.0,reciprocating,5.0,0.0,0.0,0.0,30.470556,-85.648611,no,Destroyed,greenhead,fl,South,5.0
"bridgeport, ca",accident,2006-12-22,united states,fatal(1),airplane,piper,pa-28-140,1.0,reciprocating,1.0,0.0,0.0,0.0,38.286666,-119.042222,no,Destroyed,bridgeport,ca,West,1.0
"chattanooga, tn",accident,2006-12-22,united states,fatal(4),airplane,beech,a36,1.0,reciprocating,4.0,0.0,0.0,0.0,35.036666,-85.206389,no,Destroyed,chattanooga,tn,South,4.0
"anchorage, ak",accident,2006-12-23,united states,non-fatal,airplane,boeing,747-228f,4.0,turbo fan,0.0,0.0,0.0,0.0,61.174445,-149.996389,no,Substantial,anchorage,ak,West,0.0
"cottonwood fall, ks",accident,2006-12-24,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,38.350833,-96.550278,no,Substantial,cottonwood fall,ks,Midwest,0.0
"broomfield, co",accident,2006-12-25,united states,non-fatal,airplane,cessna,t210m,1.0,reciprocating,0.0,0.0,0.0,0.0,39.908333,-105.116667,no,Substantial,broomfield,co,West,0.0
"lawrenceville, ga",accident,2006-12-25,united states,fatal(3),airplane,cessna,414a,2.0,reciprocating,3.0,0.0,0.0,0.0,33.967778,-83.959167,no,Substantial,lawrenceville,ga,South,3.0
"san diego, ca",accident,2006-12-26,united states,non-fatal,airplane,boeing,737-3a4,2.0,turbo fan,0.0,0.0,0.0,0.0,32.733611,-117.189722,no,Substantial,san diego,ca,West,0.0
"eastland, tx",accident,2006-12-26,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,0.0,0.0,0.0,32.413611,-98.809722,no,Substantial,eastland,tx,South,0.0
"jasper, tn",accident,2006-12-26,united states,fatal(2),airplane,rockwell international,114,1.0,reciprocating,2.0,0.0,2.0,0.0,35.076389,-85.555556,no,Substantial,jasper,tn,South,4.0
"north st. louis, mo",accident,2006-12-26,united states,non-fatal,airplane,cessna,t210l,1.0,reciprocating,0.0,1.0,0.0,1.0,38.838055,-90.287777,no,Substantial,north st. louis,mo,Midwest,2.0
"nashville, tn",accident,2006-12-26,united states,non-fatal,airplane,gates learjet,35a,2.0,turbo fan,0.0,0.0,0.0,0.0,36.121389,-86.673611,no,Substantial,nashville,tn,South,0.0
"johnstown, pa",accident,2006-12-26,united states,fatal(2),airplane,cessna,414,2.0,reciprocating,2.0,0.0,0.0,0.0,40.315833,-78.834166,no,Destroyed,johnstown,pa,North East,2.0
"miami, fl",incident,2006-12-26,united states,incident,airplane,boeing,747-436,4.0,turbo fan,0.0,0.0,0.0,0.0,25.793333,-80.290555,no,,miami,fl,South,0.0
"san diego, ca",accident,2006-12-26,united states,non-fatal,airplane,boeing,737-7h4,2.0,turbo fan,0.0,0.0,0.0,0.0,32.733611,-117.189722,no,Minor,san diego,ca,West,0.0
"tulsa, ok",accident,2006-12-26,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,36.039444,-95.984444,no,Destroyed,tulsa,ok,South,0.0
"lake hughes, ca",accident,2006-12-27,united states,non-fatal,airplane,beech,a36,1.0,reciprocating,0.0,0.0,1.0,0.0,34.751944,-118.656111,no,Substantial,lake hughes,ca,West,1.0
"houston, tx",accident,2006-12-27,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,29.935277,-95.634166,no,Substantial,houston,tx,South,0.0
"lakeshore, ms",accident,2006-12-27,united states,non-fatal,airplane,ercoupe (eng & research corp.),415-c,1.0,reciprocating,0.0,0.0,0.0,0.0,30.25,-89.45,no,Substantial,lakeshore,ms,South,0.0
"mt. gilead, oh",accident,2006-12-27,united states,fatal(2),airplane,mooney,m-20f,1.0,reciprocating,2.0,0.0,0.0,0.0,40.506389,-84.785833,no,Substantial,mt. gilead,oh,Midwest,2.0
"belleville, il",accident,2006-12-28,united states,non-fatal,airplane,piper,pa-24-260b,1.0,reciprocating,0.0,0.0,0.0,0.0,38.552777,-89.836111,no,Substantial,belleville,il,Midwest,0.0
"rapid city, sd",accident,2006-12-29,united states,non-fatal,airplane,beech,b-99,2.0,turbo prop,0.0,1.0,0.0,1.0,44.053333,-103.061944,no,Substantial,rapid city,sd,Midwest,2.0
"van nuys, ca",accident,2006-12-30,united states,non-fatal,airplane,cessna,140,1.0,reciprocating,0.0,0.0,0.0,0.0,34.216389,-118.494444,no,Substantial,van nuys,ca,West,0.0
"mineral wells, tx",accident,2006-12-30,united states,non-fatal,helicopter,hughes,269c,1.0,reciprocating,0.0,0.0,0.0,0.0,32.781389,-98.060278,no,Substantial,mineral wells,tx,South,0.0
"ashville, nc",accident,2006-12-30,united states,non-fatal,airplane,beech,be-23,1.0,reciprocating,0.0,2.0,0.0,2.0,35.985555,-82.883333,no,Substantial,ashville,nc,South,4.0
"cumberland, md",accident,2006-12-31,united states,non-fatal,airplane,piper,pa-28-181,1.0,reciprocating,0.0,0.0,0.0,0.0,36.615278,-78.760833,no,Substantial,cumberland,md,North East,0.0
"san diego, ca",accident,2006-12-31,united states,fatal(1),airplane,cessna,150j,1.0,reciprocating,1.0,0.0,0.0,0.0,32.826111,-116.9725,no,Substantial,san diego,ca,West,1.0
"jackpot, nv",accident,2006-12-31,united states,non-fatal,airplane,piper,pa-28-180,1.0,reciprocating,0.0,0.0,0.0,0.0,41.976111,-114.658056,no,Substantial,jackpot,nv,West,0.0
"spicewood, tx",accident,2006-12-31,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,30.477778,-98.121111,no,Substantial,spicewood,tx,South,0.0
"crystal beach, tx",accident,2006-12-31,united states,non-fatal,airplane,piper,pa 32r 301t,1.0,reciprocating,0.0,0.0,0.0,0.0,29.265,-94.86,no,Substantial,crystal beach,tx,South,0.0
"romeo, mi",accident,2006-12-31,united states,fatal(1),airplane,piper,pa-32-300,1.0,reciprocating,1.0,0.0,2.0,0.0,42.796111,-82.975,no,Substantial,romeo,mi,Midwest,3.0
"albany, ga",accident,2006-12-31,united states,non-fatal,airplane,cessna,t210n,1.0,reciprocating,0.0,0.0,2.0,0.0,31.539444,-84.19,no,Substantial,albany,ga,South,2.0
"charlotte, nc",accident,2006-12-31,united states,fatal(4),airplane,cessna,tr182,1.0,reciprocating,4.0,0.0,0.0,0.0,35.231111,-80.901389,no,Destroyed,charlotte,nc,South,4.0
"walden, co",accident,2007-01-01,united states,non-fatal,airplane,piper,pa-34-200t,2.0,reciprocating,0.0,0.0,0.0,0.0,40.75,-106.271389,no,Substantial,walden,co,West,0.0
"tulsa, ok",accident,2007-01-02,united states,non-fatal,airplane,fairchild merlin,sa-226-t,2.0,turbo prop,0.0,0.0,0.0,0.0,36.038333,-95.984444,no,Substantial,tulsa,ok,South,0.0
"armstrong, tx",accident,2007-01-02,united states,fatal(3),airplane,cesna,172h,1.0,reciprocating,3.0,0.0,0.0,0.0,26.874167,-97.729167,no,Destroyed,armstrong,tx,South,3.0
"washington, in",accident,2007-01-02,united states,fatal(1),airplane,beech,58,2.0,reciprocating,1.0,0.0,0.0,0.0,38.671389,-87.130834,no,Destroyed,washington,in,Midwest,1.0
"alton, il",accident,2007-01-03,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,38.890277,-90.046111,no,Substantial,alton,il,Midwest,0.0
"buckley, wa",accident,2007-01-04,united states,non-fatal,airplane,american champion (acac),8gcbc,1.0,reciprocating,0.0,0.0,0.0,0.0,47.15,-122,no,Substantial,buckley,wa,West,0.0
"hackettstown, nj",accident,2007-01-04,united states,non-fatal,airplane,cessna,r182,1.0,reciprocating,0.0,0.0,0.0,0.0,40.82,-74.855278,no,Substantial,hackettstown,nj,North East,0.0
"batesville, ar",accident,2007-01-04,united states,fatal(2),airplane,cessna,182r,1.0,reciprocating,2.0,0.0,0.0,0.0,35.732223,-91.615,no,Destroyed,batesville,ar,South,2.0
"columbia, sc",accident,2007-01-04,united states,fatal(3),airplane,cessna,182p,1.0,reciprocating,3.0,0.0,0.0,0.0,33.947222,-81.156389,no,Destroyed,columbia,sc,South,3.0
"bruceville, tx",accident,2007-01-05,united states,non-fatal,helicopter,enstrom,f28a,1.0,reciprocating,0.0,0.0,0.0,0.0,31.151389,-97.404722,no,Substantial,bruceville,tx,South,0.0
"bristol, wi",accident,2007-01-05,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,0.0,0.0,0.0,42.523334,-88.016667,no,Substantial,bristol,wi,Midwest,0.0
"manzanola, co",accident,2007-01-05,united states,fatal(1),airplane,piper,pa-34-200t,2.0,reciprocating,1.0,0.0,0.0,0.0,37.917778,-103.885,no,Destroyed,manzanola,co,West,1.0
"lake butler, fl",accident,2007-01-06,united states,non-fatal,airplane,ryan aeronautical,st3kr,1.0,reciprocating,0.0,2.0,0.0,2.0,30.018889,-82.577223,no,Substantial,lake butler,fl,South,4.0
"lamar, co",accident,2007-01-06,united states,non-fatal,airplane,cessna,182g,1.0,reciprocating,0.0,0.0,0.0,0.0,38.05,-103.51,no,Substantial,lamar,co,West,0.0
"kipnuk, ak",accident,2007-01-07,united states,non-fatal,airplane,cessna,207,1.0,reciprocating,0.0,0.0,0.0,0.0,59.933056,-164.030556,no,Substantial,kipnuk,ak,West,0.0
"jfk, ny",incident,2007-01-07,united states,incident,airplane,mcdonnell douglas,md11,3.0,turbo fan,0.0,0.0,0.0,0.0,,,no,Minor,jfk,ny,North East,0.0
"jamestown, ny",accident,2007-01-08,united states,fatal(1),airplane,piper,pa-60-601p,2.0,reciprocating,1.0,0.0,0.0,0.0,42.149444,-79.270834,no,Destroyed,jamestown,ny,North East,1.0
"englewood, co",incident,2007-01-08,united states,incident,airplane,raytheon,b300,2.0,turbo prop,0.0,0.0,0.0,0.0,39.570278,-104.849444,no,Minor,englewood,co,West,0.0
"kenai, ak",accident,2007-01-09,united states,fatal(1),airplane,cessna,207a,1.0,reciprocating,1.0,0.0,0.0,0.0,60.681945,-151.725834,no,Substantial,kenai,ak,West,1.0
"lancaster, ca",accident,2007-01-10,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,34.740833,-118.218611,no,Substantial,lancaster,ca,West,0.0
"columbus, oh",accident,2007-01-10,united states,non-fatal,airplane,learjet,35a,2.0,turbo fan,0.0,0.0,0.0,0.0,39.813611,-82.927778,no,Substantial,columbus,oh,Midwest,0.0
"jackson, ms",accident,2007-01-10,united states,fatal(1),airplane,cessna,310,2.0,reciprocating,1.0,0.0,0.0,0.0,,,no,Destroyed,jackson,ms,South,1.0
"san diego, ca",accident,2007-01-11,united states,non-fatal,airplane,cessna,tr182,1.0,reciprocating,0.0,0.0,1.0,0.0,32.815556,-117.139444,no,Substantial,san diego,ca,West,1.0
"lakeland, fl",accident,2007-01-11,united states,non-fatal,helicopter,robinson,r22 beta,1.0,reciprocating,0.0,0.0,0.0,0.0,27.9925,-82.02,no,Substantial,lakeland,fl,South,0.0
"maricopa, az",accident,2007-01-12,united states,non-fatal,airplane,piper,pa 18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,33.05,-112.110555,no,Substantial,maricopa,az,West,0.0
"coral springs, fl",accident,2007-01-12,united states,non-fatal,airplane,cessna,182q,1.0,reciprocating,0.0,0.0,0.0,0.0,26.269723,-80.268334,no,Substantial,coral springs,fl,South,0.0
"farmington, nm",accident,2007-01-12,united states,non-fatal,airplane,beech,a36,1.0,reciprocating,0.0,0.0,0.0,0.0,36.747222,-108.233333,no,Substantial,farmington,nm,West,0.0
"van nuys, ca",accident,2007-01-12,united states,fatal(2),airplane,cessna,525,2.0,turbo jet,2.0,0.0,0.0,0.0,34.225556,-118.493611,no,Destroyed,van nuys,ca,West,2.0
"chicago, il",incident,2007-01-12,united states,incident,airplane,mitsubishi,mu-2b-36,2.0,turbo prop,0.0,0.0,0.0,0.0,,,no,Minor,chicago,il,Midwest,0.0
"harbor springs, mi",accident,2007-01-12,united states,non-fatal,airplane,cessna,425,2.0,turbo prop,0.0,2.0,0.0,2.0,45.425556,-84.913333,no,Destroyed,harbor springs,mi,Midwest,4.0
"san jose, ca",accident,2007-01-13,united states,non-fatal,airplane,cessna,140,1.0,reciprocating,0.0,0.0,0.0,0.0,37.332778,-121.819723,no,Substantial,san jose,ca,West,0.0
"tyonek, ak",accident,2007-01-13,united states,non-fatal,airplane,piper,pa-18,1.0,reciprocating,0.0,0.0,0.0,0.0,61.23,-152.070834,no,Substantial,tyonek,ak,West,0.0
"el centro, ca",accident,2007-01-14,united states,non-fatal,airplane,navion,g model,1.0,reciprocating,0.0,0.0,2.0,0.0,32.788889,-115.529445,no,Substantial,el centro,ca,West,2.0
"carrabelle, fl",accident,2007-01-14,united states,non-fatal,airplane,cessna,177,1.0,reciprocating,0.0,0.0,0.0,0.0,29.835833,-84.713611,no,Substantial,carrabelle,fl,South,0.0
"tampa, fl",accident,2007-01-14,united states,non-fatal,airplane,piper,pa-46-500tp,1.0,turbo prop,0.0,0.0,0.0,0.0,27.975556,-82.533056,no,Substantial,tampa,fl,South,0.0
"el paso, tx",accident,2007-01-14,united states,non-fatal,airplane,luscombe,8a,1.0,reciprocating,0.0,0.0,0.0,0.0,31.803889,-106.373334,no,Substantial,el paso,tx,South,0.0
"adjuntas, pr",accident,2007-01-15,united states,fatal(2),airplane,partenavia,p 68c,2.0,reciprocating,2.0,0.0,0.0,0.0,18.147222,-66.798333,no,Substantial,adjuntas,pr,,2.0
"eagle, co",accident,2007-01-15,united states,non-fatal,airplane,piaggio industrie,p180,2.0,turbo prop,0.0,0.0,0.0,0.0,39.6425,-106.917778,no,Substantial,eagle,co,West,0.0
"wayne, nj",accident,2007-01-15,united states,fatal(1),airplane,beech,a36,1.0,reciprocating,1.0,0.0,0.0,0.0,40.923889,-74.238611,no,Destroyed,wayne,nj,North East,1.0
"cottonwood, az",accident,2007-01-16,united states,non-fatal,airplane,cessna,150a,1.0,reciprocating,0.0,0.0,0.0,0.0,34.73,-112.035277,no,Substantial,cottonwood,az,West,0.0
"parowan, ut",incident,2007-01-16,united states,incident,airplane,piper,pa-46-500tp,1.0,turbo prop,0.0,0.0,0.0,0.0,37.859444,-112.816111,no,Minor,parowan,ut,West,0.0
"centennial, wy",accident,2007-01-17,united states,fatal(3),airplane,piper,pa-28-180,1.0,reciprocating,3.0,0.0,0.0,0.0,41.366111,-106.258056,no,Substantial,centennial,wy,West,3.0
"la salle, co",accident,2007-01-17,united states,non-fatal,airplane,cessna,120,1.0,reciprocating,0.0,0.0,0.0,0.0,40.333889,-104.686944,no,Substantial,la salle,co,West,0.0
"nenana, ak",accident,2007-01-17,united states,non-fatal,airplane,douglas,c54g-dc,4.0,reciprocating,0.0,0.0,0.0,0.0,64.543055,-149.276111,no,Substantial,nenana,ak,West,0.0
"waltman, wy",accident,2007-01-17,united states,fatal(2),airplane,cessna,182r,1.0,reciprocating,2.0,0.0,0.0,0.0,42.999444,-107.416945,no,Destroyed,waltman,wy,West,2.0
"ashland, va",accident,2007-01-19,united states,non-fatal,airplane,cessna,182e,1.0,reciprocating,0.0,0.0,0.0,0.0,37.708333,-77.436666,no,Substantial,ashland,va,South,0.0
"salem, or",accident,2007-01-21,united states,non-fatal,helicopter,robinson,r-22 beta 2,1.0,reciprocating,0.0,0.0,0.0,0.0,45.583333,-112.6,no,Substantial,salem,or,West,0.0
"craig, co",accident,2007-01-21,united states,non-fatal,airplane,"smith, ted aerostar",601p,2.0,reciprocating,0.0,0.0,0.0,0.0,40.491389,-107.525278,no,Substantial,craig,co,West,0.0
"wauchula, fl",accident,2007-01-21,united states,non-fatal,airplane,ayres,s2r-g6,1.0,turbo prop,0.0,0.0,0.0,0.0,27.508889,-81.875,no,Substantial,wauchula,fl,South,0.0
"white lake, sd",accident,2007-01-22,united states,non-fatal,airplane,piper,j3c-65,1.0,reciprocating,0.0,0.0,0.0,0.0,43.728334,-98.713056,no,Substantial,white lake,sd,Midwest,0.0
"beaver marsh, or",accident,2007-01-23,united states,non-fatal,airplane,cessna,172d,1.0,reciprocating,0.0,0.0,0.0,0.0,43.128889,-121.817778,no,Substantial,beaver marsh,or,West,0.0
"murrieta, ca",accident,2007-01-23,united states,non-fatal,airplane,cessna,140,1.0,reciprocating,0.0,0.0,0.0,0.0,33.574167,-117.128611,no,Substantial,murrieta,ca,West,0.0
"marco island, fl",accident,2007-01-23,united states,non-fatal,airplane,ryan,navion,1.0,reciprocating,0.0,0.0,0.0,0.0,25.995,-81.6725,no,Substantial,marco island,fl,South,0.0
"butler, pa",accident,2007-01-24,united states,non-fatal,airplane,cessna,550,2.0,turbo fan,0.0,3.0,1.0,3.0,40.778889,-79.941389,no,Substantial,butler,pa,North East,7.0
"mcalester, ok",accident,2007-01-24,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,34.882223,-95.783611,no,Substantial,mcalester,ok,South,0.0
"milwaukee, wi",accident,2007-01-24,united states,non-fatal,airplane,cessna,402-b,2.0,reciprocating,0.0,1.0,0.0,1.0,42.941666,-87.909167,no,Substantial,milwaukee,wi,Midwest,2.0
"milwaukee, wi",accident,2007-01-24,united states,non-fatal,airplane,beechcraft,be99,2.0,turbo prop,0.0,1.0,0.0,1.0,42.941666,-87.909167,no,Substantial,milwaukee,wi,Midwest,2.0
"cripple creek, co",incident,2007-01-25,united states,incident,airplane,"bombardier, inc.",cl-600-2b19,2.0,turbo fan,0.0,0.0,0.0,0.0,38.739722,-105.304166,no,Minor,cripple creek,co,West,0.0
"sebring, fl",accident,2007-01-26,united states,non-fatal,airplane,airborne windsports ltd,classic,1.0,reciprocating,0.0,1.0,1.0,1.0,27.456389,-81.342222,no,Substantial,sebring,fl,South,3.0
"moorpark, ca",accident,2007-01-26,united states,non-fatal,airplane,jihlavan,kp-5,1.0,reciprocating,0.0,1.0,0.0,1.0,34.283333,-118.883333,no,Substantial,moorpark,ca,West,2.0
"houston, tx",accident,2007-01-26,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,30.061667,-95.551667,no,Substantial,houston,tx,South,0.0
"olathe, ks",accident,2007-01-26,united states,non-fatal,airplane,cessna,172r,1.0,reciprocating,0.0,0.0,0.0,0.0,38.831667,-94.89,no,Substantial,olathe,ks,Midwest,0.0
"sanford, fl",accident,2007-01-27,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,28.777778,-81.2375,no,Substantial,sanford,fl,South,0.0
"fulshear, tx",accident,2007-01-27,united states,non-fatal,airplane,hughes,269a,1.0,reciprocating,0.0,1.0,0.0,1.0,29.711944,-95.851389,no,Substantial,fulshear,tx,South,2.0
"madison, ms",accident,2007-01-28,united states,non-fatal,airplane,piper,pa-46-310p,1.0,reciprocating,0.0,0.0,0.0,0.0,32.436389,-90.101944,no,Substantial,madison,ms,South,0.0
"englwood, co",accident,2007-01-28,united states,non-fatal,airplane,aviat,a-1b,1.0,reciprocating,0.0,0.0,0.0,0.0,39.572223,-104.85,no,Substantial,englwood,co,West,0.0
"siler city, nc",accident,2007-01-28,united states,non-fatal,airplane,cirrus design,sr-22,1.0,reciprocating,0.0,0.0,0.0,0.0,35.702778,-79.5025,no,Substantial,siler city,nc,South,0.0
"haddock, ga",accident,2007-01-29,united states,fatal(1),airplane,cessna,t210m,1.0,reciprocating,1.0,0.0,0.0,0.0,33.155833,-83.439722,no,Substantial,haddock,ga,South,1.0
"pocatello, id",accident,2007-01-30,united states,non-fatal,airplane,cessna,421,2.0,reciprocating,0.0,0.0,0.0,0.0,43.123611,-112.453889,no,Substantial,pocatello,id,West,0.0
"aptos, ca",accident,2007-01-30,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,36.933333,-121.85,no,Substantial,aptos,ca,West,0.0
"atlantic city, nj",accident,2007-01-31,united states,non-fatal,airplane,cessna,310q,2.0,reciprocating,0.0,0.0,0.0,0.0,39.454444,-74.572778,no,Substantial,atlantic city,nj,North East,0.0
"vero beach, fl",accident,2007-01-31,united states,non-fatal,airplane,piper,pa-46-500tp,1.0,turbo prop,0.0,0.0,0.0,0.0,27.42,-80.636111,no,Substantial,vero beach,fl,South,0.0
"kaunakakai, hi",accident,2007-01-31,united states,non-fatal,airplane,"bombardier, inc.",dhc-8-103,2.0,turbo prop,0.0,0.0,1.0,0.0,21.150278,-157.096666,no,,kaunakakai,hi,West,1.0
"plymouth, ma",accident,2007-02-01,united states,non-fatal,helicopter,schweizer,269c,1.0,reciprocating,0.0,0.0,0.0,0.0,41.915,-70.728611,no,Substantial,plymouth,ma,North East,0.0
"dickinson, nd",accident,2007-02-01,united states,non-fatal,airplane,cessna,414a,2.0,reciprocating,0.0,0.0,0.0,0.0,46.797222,-102.801944,no,Substantial,dickinson,nd,Midwest,0.0
"glennallen, ak",accident,2007-02-01,united states,non-fatal,airplane,piper,pa-12,1.0,reciprocating,0.0,1.0,0.0,1.0,62.522778,-145.976667,no,Substantial,glennallen,ak,West,2.0
"julian, ca",accident,2007-02-02,united states,non-fatal,airplane,republic,rc-3,1.0,reciprocating,0.0,0.0,0.0,0.0,33.066667,-116.633333,no,Substantial,julian,ca,West,0.0
"cape girardeau, mo",accident,2007-02-02,united states,non-fatal,airplane,raytheon aircraft company,b200,2.0,turbo prop,0.0,0.0,0.0,0.0,37.225278,-89.573611,no,Substantial,cape girardeau,mo,Midwest,0.0
"bessemer, al",accident,2007-02-02,united states,fatal(2),airplane,cessna,172k,1.0,reciprocating,2.0,0.0,0.0,0.0,33.415,-87.143611,no,Substantial,bessemer,al,South,2.0
"dartmouth, ma",accident,2007-02-02,united states,fatal(3),airplane,socata,tbm 700,1.0,turbo prop,3.0,0.0,0.0,0.0,41.6675,-78.976111,no,Destroyed,dartmouth,ma,North East,3.0
"denver, co",incident,2007-02-02,united states,incident,airplane,boeing,737-522,2.0,turbo jet,0.0,0.0,0.0,0.0,39.861667,-104.673056,no,,denver,co,West,0.0
"palos verdes, ca",accident,2007-02-03,united states,non-fatal,airplane,waco,upf-7,1.0,reciprocating,0.0,1.0,0.0,1.0,33.666667,-118.4,no,Substantial,palos verdes,ca,West,2.0
"ranchita, ca",accident,2007-02-03,united states,fatal(1),airplane,mooney,m20j,1.0,reciprocating,1.0,0.0,0.0,0.0,33.171111,-116.423889,no,Substantial,ranchita,ca,West,1.0
"palos verdes, ca",accident,2007-02-03,united states,non-fatal,airplane,boeing,a75n1(pt17),1.0,reciprocating,0.0,1.0,0.0,1.0,33.666667,-118.4,no,Minor,palos verdes,ca,West,2.0
"ontario, or",accident,2007-02-04,united states,non-fatal,airplane,piper,pa-38-112,1.0,reciprocating,0.0,0.0,0.0,0.0,43.425556,-117.343333,no,Substantial,ontario,or,West,0.0
"mckinney, tx",accident,2007-02-04,united states,non-fatal,airplane,beech,f35,1.0,reciprocating,0.0,0.0,0.0,0.0,33.176667,-96.59,no,Substantial,mckinney,tx,South,0.0
"miami, fl",incident,2007-02-04,united states,incident,airplane,mcdonnell douglas,dc-8-71f,4.0,turbo fan,0.0,0.0,0.0,0.0,25.793055,-80.290555,no,Minor,miami,fl,South,0.0
"palmetto, ga",accident,2007-02-06,united states,non-fatal,airplane,cessna,c150,1.0,reciprocating,0.0,0.0,0.0,0.0,33.535833,-84.636666,no,Substantial,palmetto,ga,South,0.0
"daytona beach, fl",accident,2007-02-08,united states,non-fatal,airplane,cessna,172rg,1.0,reciprocating,0.0,0.0,0.0,0.0,29.18,-81.058056,no,Substantial,daytona beach,fl,South,0.0
"deland, fl",accident,2007-02-08,united states,non-fatal,airplane,american champion,7gcbc,1.0,reciprocating,0.0,0.0,0.0,0.0,29.104167,-81.313611,no,Substantial,deland,fl,South,0.0
"alliance, ne",accident,2007-02-08,united states,non-fatal,airplane,cessna,208b,1.0,turbo prop,0.0,0.0,1.0,0.0,42.055,-102.806389,no,Substantial,alliance,ne,Midwest,1.0
"manokotak, ak",accident,2007-02-08,united states,non-fatal,airplane,aero commander,100,1.0,reciprocating,0.0,0.0,0.0,0.0,58.9525,-159.383333,no,Substantial,manokotak,ak,West,0.0
"rexburg, id",accident,2007-02-08,united states,fatal(1),airplane,cessna,t210r,1.0,reciprocating,1.0,0.0,0.0,0.0,43.817778,-111.800556,no,Destroyed,rexburg,id,West,1.0
